user_id,date,steps,sleep_hours,screen_time_hours,deep_work_hours,exercise_minutes
U1,2026-01-01,8587,7.5,7.3,1.7,22
U1,2026-01-02,9735,6.4,7.6,1.9,63
U1,2026-01-03,7658,6.5,7.9,5.6,83
U1,2026-01-04,10357,6.4,7.7,3.9,10
U1,2026-01-05,5698,6.3,2.7,5.5,21
U1,2026-01-06,11922,5.7,6.9,5.5,87
U1,2026-01-07,4134,8.2,8.9,1.6,36
U1,2026-01-08,10001,7.6,2.8,4.5,7
U1,2026-01-09,11600,8.2,2.7,6.0,6
U1,2026-01-10,6119,6.5,4.8,4.3,42
U1,2026-01-11,11394,8.2,6.0,3.9,66
U1,2026-01-12,5928,6.5,4.1,3.9,2
U1,2026-01-13,11620,6.7,7.6,5.5,16
U1,2026-01-14,4979,6.1,8.8,0.6,75
U1,2026-01-15,6743,8.4,2.5,4.3,9
U1,2026-01-16,4892,7.5,8.4,4.8,52
U1,2026-01-17,5187,6.5,8.8,5.8,49
U1,2026-01-18,7434,8.2,6.8,5.4,58
U1,2026-01-19,6804,6.7,5.6,5.3,66
U1,2026-01-20,11693,7.8,4.4,1.0,15
U1,2026-01-21,7740,8.4,4.6,4.5,72
U1,2026-01-22,9933,8.2,8.7,4.6,43
U1,2026-01-23,4020,7.3,2.2,1.7,16
U1,2026-01-24,5558,6.4,8.6,6.0,53
U1,2026-01-25,4938,6.1,3.8,3.3,19
U1,2026-01-26,11684,6.0,7.5,0.7,9
U1,2026-01-27,6083,7.7,6.4,4.7,73
U1,2026-01-28,10434,8.2,5.1,2.8,38
U1,2026-01-29,5514,7.3,2.1,1.8,48
U1,2026-01-30,7771,5.5,6.2,5.2,4
U2,2026-01-01,10186,6.9,2.5,2.8,27
U2,2026-01-02,4665,8.3,5.1,0.9,15
U2,2026-01-03,10469,6.9,3.6,2.2,57
U2,2026-01-04,9416,7.9,6.5,1.4,10
U2,2026-01-05,9078,8.3,7.1,0.7,54
U2,2026-01-06,9784,8.4,7.6,6.0,87
U2,2026-01-07,8935,6.0,5.6,2.7,6
U2,2026-01-08,8659,6.0,7.4,1.2,23
U2,2026-01-09,11574,8.4,2.8,5.5,81
U2,2026-01-10,4362,7.2,8.0,1.6,61
U2,2026-01-11,7652,7.3,2.5,5.2,64
U2,2026-01-12,4411,6.0,3.4,3.1,46
U2,2026-01-13,11596,7.8,6.1,2.9,10
U2,2026-01-14,4116,6.5,3.4,2.6,15
U2,2026-01-15,9826,8.2,6.2,4.1,65
U2,2026-01-16,8358,6.0,6.9,4.8,56
U2,2026-01-17,6629,7.1,6.4,5.6,16
